candidate_id,rank,score,reasoning
CAND_0030031,51,87.588501,"5.7 years experience. AI Engineer at Microsoft. Positives: matched skills: nlp, bm25, qlora, milvus, rag; short notice period; India-based (Trivandrum, Kerala)."
CAND_0024878,52,87.571271,"5.7 years experience. AI Specialist at HCL. Positives: matched skills: nlp, prompt engineering, bm25, elasticsearch, lora; open to work; India-based (Vizag, Andhra Pradesh)."
CAND_0070398,53,87.570139,"7.2 years experience. Machine Learning Engineer at Genpact AI. Positives: matched skills: embeddings, bm25, learning to rank, rag, fine-tuning llms; open to work; India-based (Kochi, Kerala)."
CAND_0075249,54,87.566068,"6.2 years experience. Applied ML Engineer at Zomato. Positives: matched skills: bm25, milvus, learning to rank, fine-tuning llms, pinecone; open to work; India-based (Ahmedabad, Gujarat)."
CAND_0068811,55,87.552936,"8.0 years experience. Applied ML Engineer at Freshworks. Positives: matched skills: embeddings, opensearch, weaviate, vector search, qdrant; open to work; short notice period; India-based (Pune, Maharashtra)."
CAND_0018499,56,87.549755,"7.2 years experience. Senior Machine Learning Engineer at Zomato. Positives: matched skills: embeddings, bm25, qlora, milvus, weaviate; open to work; short notice period; India-based (Noida, Uttar Pradesh)."
CAND_0064270,57,87.545693,"4.2 years experience. Applied ML Engineer at Verloop.io. Positives: matched skills: embeddings, bm25, opensearch, learning to rank, elasticsearch; India-based (Pune, Maharashtra)."
CAND_0096142,58,87.477137,"5.0 years experience. Applied ML Engineer at upGrad. Positives: matched skills: nlp, bm25, weaviate, rag, lora; open to work; India-based (Hyderabad, Telangana)."
CAND_0041610,59,87.472266,"6.7 years experience. Recommendation Systems Engineer at Zoho. Positives: matched skills: embeddings, bm25, opensearch, learning to rank, elasticsearch; open to work; short notice period; India-based (Indore, Madhya Pradesh)."
CAND_0054123,60,87.453793,"4.7 years experience. Applied ML Engineer at Meta. Positives: matched skills: weaviate, vector search, qdrant, fine-tuning llms, python; India-based (Gurgaon, Haryana)."
CAND_0081846,61,87.444491,"6.7 years experience. Lead AI Engineer at Razorpay. Positives: matched skills: embeddings, bm25, learning to rank, vector search, qdrant; open to work; short notice period; India-based (Jaipur, Rajasthan)."
CAND_0020877,62,87.432110,"5.1 years experience. Applied ML Engineer at CRED. Positives: matched skills: qlora, opensearch, milvus, weaviate, qdrant; India-based (Gurgaon, Haryana)."
CAND_0015578,63,87.423310,"5.4 years experience. AI Engineer at Zoho. Positives: matched skills: embeddings, nlp, bm25, qlora, rag; open to work; India-based (Delhi, Delhi)."
CAND_0095528,64,87.359453,"5.3 years experience. Senior Data Scientist at Netflix. Positives: matched skills: opensearch, rag, vector search, qdrant, elasticsearch; open to work; India-based (Indore, Madhya Pradesh)."
CAND_0020708,65,87.339021,"4.2 years experience. Search Engineer at PolicyBazaar. Positives: matched skills: nlp, prompt engineering, milvus, learning to rank, elasticsearch; open to work; short notice period; India-based (Indore, Madhya Pradesh)."
CAND_0079284,66,87.332172,"4.9 years experience. Machine Learning Engineer at Google. Positives: matched skills: nlp, qlora, qdrant, elasticsearch, fine-tuning llms; short notice period; India-based (Hyderabad, Telangana)."
CAND_0070202,67,87.327320,"5.1 years experience. Machine Learning Engineer at BYJU'S. Positives: matched skills: embeddings, nlp, bm25, learning to rank, rag; India-based (Jaipur, Rajasthan)."
CAND_0054100,68,87.298885,"6.0 years experience. Junior ML Engineer at Zoho. Positives: matched skills: prompt engineering, qlora, weaviate, vector search, fine-tuning llms; open to work; India-based (Kolkata, West Bengal)."
CAND_0033861,69,87.296672,"8.0 years experience. Senior NLP Engineer at Mad Street Den. Positives: matched skills: milvus, weaviate, learning to rank, vector search, qdrant; short notice period; India-based (Vizag, Andhra Pradesh)."
CAND_0082489,70,87.292475,"5.3 years experience. ML Engineer at InMobi. Positives: matched skills: weaviate, rag, peft; India-based (Noida, Uttar Pradesh)."
CAND_0072660,71,87.281072,"7.1 years experience. Machine Learning Engineer at Unacademy. Positives: matched skills: nlp, qlora, opensearch, elasticsearch, lora; open to work; short notice period."
CAND_0015528,72,87.238827,"7.4 years experience. Applied ML Engineer at Krutrim. Positives: matched skills: prompt engineering, opensearch, weaviate, lora, faiss; short notice period; India-based (Coimbatore, Tamil Nadu)."
CAND_0078002,73,87.211515,"6.3 years experience. Machine Learning Engineer at Meta. Positives: matched skills: nlp, qlora, weaviate; open to work; India-based (Coimbatore, Tamil Nadu)."
CAND_0094759,74,87.184887,"8.6 years experience. Lead AI Engineer at Meta. Positives: matched skills: nlp, prompt engineering, weaviate, learning to rank, vector search; short notice period; India-based (Mumbai, Maharashtra)."
CAND_0045250,75,87.184165,"6.6 years experience. Applied ML Engineer at Rephrase.ai. Positives: matched skills: embeddings, nlp, bm25, milvus, vector search; short notice period; India-based (Delhi, Delhi)."
CAND_0081686,76,87.172710,"6.0 years experience. Search Engineer at Netflix. Positives: matched skills: embeddings, qlora, milvus, faiss, python."
CAND_0064904,77,87.170766,"4.9 years experience. AI Engineer at LinkedIn. Positives: matched skills: embeddings, prompt engineering, opensearch, weaviate, vector search; open to work; India-based (Hyderabad, Telangana)."
CAND_0024147,78,87.168479,"5.9 years experience. ML Engineer at Ola. Positives: matched skills: qlora, opensearch, learning to rank, qdrant, recommendation systems; open to work; India-based (Jaipur, Rajasthan)."
CAND_0071974,79,87.155639,"7.8 years experience. Senior AI Engineer at Netflix. Positives: matched skills: embeddings, bm25, weaviate, learning to rank, rag; open to work; India-based (Vizag, Andhra Pradesh)."
CAND_0008239,80,87.152161,"4.0 years experience. AI Engineer at Apple. Positives: matched skills: milvus, weaviate, vector search, elasticsearch, faiss; open to work; short notice period; India-based (Jaipur, Rajasthan)."
CAND_0017918,81,87.139857,"3.2 years experience. ML Engineer at Aganitha. Positives: matched skills: prompt engineering, bm25, weaviate, elasticsearch, peft; open to work; India-based (Bangalore, Karnataka). Concerns: experience is below the preferred band."
CAND_0023583,82,87.135457,"4.1 years experience. ML Engineer at Yellow.ai. Positives: matched skills: qlora, opensearch, learning to rank, elasticsearch, recommendation systems; open to work; India-based (Ahmedabad, Gujarat)."
CAND_0089552,83,87.114738,"6.0 years experience. Machine Learning Engineer at Netflix. Positives: matched skills: bm25, milvus, weaviate, vector search, qdrant; India-based (Kolkata, West Bengal)."
CAND_0092255,84,87.097819,"5.2 years experience. ML Engineer at InMobi. Positives: matched skills: opensearch, weaviate, learning to rank, rag, vector search; open to work; India-based (Noida, Uttar Pradesh)."
CAND_0080766,85,87.095211,"8.8 years experience. Staff Machine Learning Engineer at Salesforce. Positives: matched skills: qlora, opensearch, milvus, elasticsearch, lora; short notice period; India-based (Coimbatore, Tamil Nadu)."
CAND_0006557,86,87.092533,"7.9 years experience. NLP Engineer at Paytm. Positives: matched skills: opensearch, weaviate, vector search, qdrant, elasticsearch; open to work; India-based (Jaipur, Rajasthan)."
CAND_0070485,87,87.058904,"6.4 years experience. Search Engineer at Saarthi.ai. Positives: matched skills: qlora, faiss, peft, information retrieval, recommendation systems; open to work; India-based (Coimbatore, Tamil Nadu)."
CAND_0055905,88,86.986338,"8.1 years experience. Senior Machine Learning Engineer at Flipkart. Positives: matched skills: embeddings, opensearch, vector search, elasticsearch, fine-tuning llms; open to work; short notice period."
CAND_0014440,89,86.975824,"6.4 years experience. Recommendation Systems Engineer at CRED. Positives: matched skills: milvus, qdrant, elasticsearch, fine-tuning llms, faiss; open to work; India-based (Chennai, Tamil Nadu)."
CAND_0036121,90,86.972434,"5.2 years experience. ML Engineer at Wysa. Positives: matched skills: embeddings, bm25, qlora, learning to rank, vector search; open to work; India-based (Chennai, Tamil Nadu)."
CAND_0010541,91,86.965984,"6.2 years experience. AI Research Engineer at Wysa. Positives: matched skills: nlp, bm25, weaviate, qdrant, lora; open to work; India-based (Hyderabad, Telangana)."
CAND_0040200,92,86.963134,"5.5 years experience. AI Research Engineer at PharmEasy. Positives: matched skills: nlp, milvus, weaviate, rag, lora; open to work; India-based (Pune, Maharashtra)."
CAND_0094728,93,86.960936,"6.5 years experience. AI Specialist at Swiggy. Positives: matched skills: embeddings, bm25, opensearch, rag, qdrant; short notice period; India-based (Chennai, Tamil Nadu)."
CAND_0022812,94,86.956773,"4.5 years experience. Applied ML Engineer at Dream11. Positives: matched skills: nlp, prompt engineering, weaviate, qdrant, lora; India-based (Coimbatore, Tamil Nadu)."
CAND_0066376,95,86.940572,"5.7 years experience. Applied ML Engineer at Dream11. Positives: matched skills: nlp, bm25, learning to rank, fine-tuning llms, lora; open to work; India-based (Mumbai, Maharashtra)."
CAND_0038099,96,86.926374,"5.4 years experience. Junior ML Engineer at Locobuzz. Positives: matched skills: prompt engineering, bm25, elasticsearch, peft; open to work; India-based (Bhubaneswar, Odisha)."
CAND_0062413,97,86.899373,"6.6 years experience. AI Research Engineer at upGrad. Positives: matched skills: bm25, opensearch, learning to rank, pinecone; open to work; India-based (Mumbai, Maharashtra)."
CAND_0006418,98,86.890275,"5.7 years experience. Machine Learning Engineer at Verloop.io. Positives: matched skills: embeddings, opensearch, weaviate, learning to rank, qdrant; open to work; India-based (Gurgaon, Haryana)."
CAND_0089546,99,86.867160,"4.8 years experience. Machine Learning Engineer at Wysa. Positives: matched skills: nlp, prompt engineering, bm25, qlora, qdrant; India-based (Bangalore, Karnataka)."
CAND_0025640,100,86.855926,"5.6 years experience. AI Research Engineer at HCL. Positives: matched skills: opensearch, elasticsearch, faiss, peft, information retrieval; open to work; short notice period; India-based (Jaipur, Rajasthan)."
